Hotel,Id,Ciudad,Pais,Usuario,Rating,PosNeg,Fecha,Review
JW Marriott Hotel Lima,rn369702727,,,Ruben C,5,1,02/05/2016,"Magnifico Hotel Estuve con mi familia al final del mes de Abril.. estuvimos en el piso 16 habitacion con vista al mar y fue sencillamente espectacular la experiencia, todo es excelencia en la atencion mucha amabilidad y preocupacion por los detalles y hacer sentir bien al huesped, la habitacion comodisima, el restaurant La Vista de primera todo, contar con 4 ascensores para..   "
JW Marriott Hotel Lima,rn369404075,Lima,Peru,marlene g,5,1,01/05/2016,"Boda excelente, el mejor HOTEL DE LIMA Esta fue mi primera vez en este hotel hace menos de un mes, la ubicacion es estupenda, la comida fue increible y el servicio de primera categoria. El salon Bolognesi en mi boda fue muy bonito, detallista y decente, nunca olvidare aquella noche tan especial en la que me brindaron total apoyo, carisma y alegria que su servicio se hizo..   "
JW Marriott Hotel Lima,rn368964603,,,Macarena B,5,1,30/04/2016,"El mejor de Lima Nos hemos quedado varias veces en el Marriott de Lima. Este es hotel tiene una ubicacion privilegiada al lado de larcomar un gran centro comercial, con tiendas, restaurantes, juegos para niños, etc. El hotel tiene unas habitaciones preciosas con muy linda vista al mar. Ademas el hotel cuenta con Restaurant, spa, gym. Recomiendo mucho este hotel, sobre todo por la..   "
JW Marriott Hotel Lima,rn368009073,Caracas,Venezuela,John C,5,1,26/04/2016,Excelente Muy buena ubicacion de verdad privilegiada si corre con suerte de estar en un piso alto con vista al mar mucho mejor excelente atencion y un buen cuidado de los detalles simplemente genial recomendado para cualquier ocasion ya q se adapta a la necesidad del huesped 
JW Marriott Hotel Lima,rn367625822,Lima,Peru,eduardodelama,5,1,25/04/2016,"Prime Ocean View El fin de semana tuve la oportunidad de reservar una noche con mi novia en la habitacion Prime Ocean View, la cual esta en el piso 12, y tiene una excelente vista del Oceano y Larcomar. Nuestra habitacion consideraba una cama king, frigobar, television con cable, internet gratuito, y todas las demas comodidades usuales. Las instalaciones del hotel son muy..   "
JW Marriott Hotel Lima,rn367595992,Region Metropolitana de Santiago,Chile,Karin M,5,1,25/04/2016,"Lima sorprendente Gastronomia de primer nivel, el hotel esta ubicado en un sector con vistas privilegiadas, Recomendable 100%. habitaciones muy comodas, el servicio del desayuno es rapido y muy variado. Ademas como dato tiene cajero automatico, que facilita al turista- "
JW Marriott Hotel Lima,rn367356109,Valera,Venezuela,Sandra C,5,1,25/04/2016,Lima machu picchu Muy buen hotel ubicado frente al pacifico y un buen centro comercial con excelente comida y muy buenos negocios para comprar y pasar una tarde agradable lo recomiendo ampliamente me quede dos noches y el desayuno fantastico 
JW Marriott Hotel Lima,rn366632669,,,Enrique V,5,1,23/04/2016,"Matri civil El 12 de marzo fue la ceremonia por nuestro matri civil. Todo estuvo excelente. El ambiente y los salones muy bien cuidados. La atencion de primera como siempre, especialmente por Christian Bustamante y Evelyn Starost, quienes siempre estuvieron preocupados por nosotros y los requerimientos de los invitados. "
JW Marriott Hotel Lima,rn366558350,,,M angeles G,5,1,23/04/2016,Maravilloso Me quede sorprendida nada mas llegar. Las instalaciones preciosas. La gente encantadora y la habitacion extraordinaria. las vistas eran impresionantes. En cuanto al desayuno no sabia por donde empezar. Habia de todo y todo buenisimo. Y el salon5 amplio y muy limpioj 
JW Marriott Hotel Lima,rn366442744,,,Danae1595,5,1,22/04/2016,"Calidad Tiene que reservar antes de querer ir, atencion de primera. Valio la pena ir a pasar un rato de pareja y pasarla bien. Las habitaciones de primera calidad, buen desayuno y te atienden sin hacerte esperar casi nada! Buena eleccion de hoteles. "
JW Marriott Hotel Lima,rn366409526,,,Gustavo R,5,1,22/04/2016,"Excelente! El hotel esta muy bien ubicado en la zona de Miraflores, con muy buena vista hacia el Mar. Es un hotel muy orientado al trafico corporativo o de convenciones. Para esto ultimo es una excelente opcion, ya que cuenta con grandes salones y una excelente atencion. Las habitaciones son amplias y comodas. Tiene un Gimnasio muy completo y grande para..   "
JW Marriott Hotel Lima,rn366098430,Lima,Peru,Patricia A,5,1,21/04/2016,"Cocktail de Negocios: la mejor opcion! Atencion impecable, desde la concepcion del evento, la eleccion de la comida, el uso de tecnologia para la coordinacion y el timing perfecto. Gracias a Luis Carbajal, Angela, Luis, Jossimar y Cristian, nunca mejor atendidos, siempre estuvieron con nosotros sugiriendonos mejoras para la atencion. Nuestros clientes quedaron satisfechos. Mis proximos eventos seran en el JW Marriott. "
JW Marriott Hotel Lima,rn366034678,Lima,Peru,Richard B,3,0,21/04/2016,El Marriot de Lima ya no es lo que solia ser Estuve por un dia y una noche en el Lima Marriot para sencillamente sentir un poco la desconexion de mis actividades cotidianas en esta misma ciudad. En general podria calificar la experiencia como promedio con pequeños detalles que hacian algo incomoda la experiencia. En realidad se aprecia que el uso de la tecnologia para reservar y las estrategias para hacer..   
JW Marriott Hotel Lima,rn365363959,Lima,Peru,viajandoando0,4,1,19/04/2016,"Linda vista Estuvimos en el piso 23 y la vista del Oceano Pacifico es insuperable, hermosa. El desayuno estaba incluido y fue espectacular. El servicio muy bueno, como cualquier hotel Marriott, lo recomiendo al 100%. Tambien tiene un gimnasio que esta abierto 24 horas al dia. "
JW Marriott Hotel Lima,rn364991772,Santiago,Chile,matiasbernier,5,1,17/04/2016,"Excelente atencion Nos arrancamos unos dias con mi esposa y elegimos este hotel por sus referencias. Lo primero a destacar es la atencion de todos quienes trabajan en el hotel, muy preocupados en que la experiencia sea la mejor posible. Nos asignaron una habitacion muy amplia y bien decorada, y con una vista impresionante al oceano. Un detalle a mejorar es la..   "
JW Marriott Hotel Lima,rn364943514,Antofagasta,Chile,Martin R,5,1,17/04/2016,"Calidad Aloje 2 noches por motivo de evento cientifico en las mismas instalaciones del Hotel. Habitacion excelente, un poco reducida en tamaño pero con todas las comodidades. El baño muy apetecible, la cama inmejorable. Limpieza 100 %. Se destaca la MUY BUENA atencion del personal, tanto a la llegada en el registro como a la salida. EN SUMA: EXCELENTE HOTEL QUE..   "
JW Marriott Hotel Lima,rn364641485,Chiclayo,Peru,rostroperuano,5,1,16/04/2016,"EXCELENTE El hotel es muy bonito, el buffet del primer nivel presenta variedad de platos de diferentes lugares, buen servicio, buena ubicacion, excelente experiencia, el personal es atento y solucionan las necesidades que surgen en el momento. "
JW Marriott Hotel Lima,rn364615784,Peru,Peru,CocoViajero,5,1,16/04/2016,"EL MEJOR EN LIMA MUY BUENA UBICACION... El corazon de Miraflores, la atencion es de primera. La comida muy buena; variedad de platos. Pero lo mejor de todo es la atencion que ponen los colaboradores del Hotel en cada uno de los huespedes. Estan atentos a cada detalle. "
JW Marriott Hotel Lima,rn364466147,,,Alejandra F,5,1,15/04/2016,"Muy bueno Hermosa habitacion vista al mar, cama muy comoda, baño impecable, salvo un detalle, secador de malo defectuoso; desayuno buffet completo, buen servicio, y buena ubicacion, frente a Larcomar, y cerca de varias atracciones turisticas. "
JW Marriott Hotel Lima,rn364333224,Santiago,Chile,MariaNellyLiendo,5,1,15/04/2016,"Estupendo el hotel y la vista al mar! Excelente hotel, atencion muy amable, buena comida, frente a centro comercial Larcomar, mucha seguridad, impecable organizacion del curso en que participeEl gimnasio, muy bueno con amables profesoresEl area de piscina con hermosa vista! "
JW Marriott Hotel Lima,rn364164132,Lima,Peru,jackiemitre1,5,1,14/04/2016,"Cocktail cumple Jackie abril 4 - 2016 Tuve la oportunidad de organizar mi cumpleaños asi como el cumpleaños numero 100 de mi abuelita, un servicio pulcro una atencion perfecta siempre atentos la srta Esquivel como la srta Blanco que estuvieron atentas a mi evento no descuidaron ni un detalle. Tambien la srta. Rocio Hoyos quien se encargo de la organizacion, Agradezco a todo el staff de eventos..   "
JW Marriott Hotel Lima,rn363478711,Castelar,Argentina,Carlos T,5,1,11/04/2016,"Siempre vuelvo por su excelencia. Siempre que viajo a Lima me hospedo en el porque cubre todas mis expectativas. Es un excelente Hotel donde todo su personal desde Claudia, Walther sus Managers, los chicos de las habitaciones y el Restaurante tienen la agradable costumbre de estar permanentemente dispuestos a agasajar muy bien al viajero atentos a todo lo que necesita en su estadia hasta en..   "
JW Marriott Hotel Lima,rn363473318,,Colombia,Enzo_Elias,4,1,11/04/2016,excelente hotel muy cercano a larcomar comodisimo de mucho estilo celebridades se han hospedado en este maravilloso hotel que integra lujo y comodidad con una vista privilegiada y en una calle muy especial lima es un destino maravilloso en especial su gastronomia que lo hace top mundial 
JW Marriott Hotel Lima,rn363215964,Bogota,Colombia,Ant0nio66,5,1,10/04/2016,"La calidad de Marriott en uan excelente ubicacion Nadie piede negar que Marriott es sinonimo de calidad. Y dentro de esa familia de hoteles, el JW sera de los mejores. Pues bien, el JW de Lima ademas de ofrecer esa garantia de calidad, ofrece una excelente ubicacion. Con vista al oceano y justo al frente del centro comercial Larcomar, es una de las mejores opciones para alojarse. "
JW Marriott Hotel Lima,rn363040279,San Jose,Costa Rica,Roberto V,4,1,10/04/2016,"Excelente hotel y ubicacion Ubicado en la zona mas exclusiva de Lima. Instalaciones confortables y con el lujo usual de Marriott. La comida excelente. El piso de eventos adecuado con todas las facilidades y una hermosa terraza con vista al mar. En la habitacion me agrado tener la ducha aparte de la tina, aunque extrañe la tabla de planchar.. El servicio excelente. "
JW Marriott Hotel Lima,rn362737942,Lima,Peru,Lorenzo D,5,1,09/04/2016,"Excelente Un servicio espectacular La comida en el restaurant de primera, las areas y Wi-Fi super bueno. Me encanto la habitacion super amplia, bien diseñada y sobre todo para mi 0 ruidos esto es importante cuando alguien busca mas que nada descansar. "
JW Marriott Hotel Lima,rn361989262,Toledo,España,Jos8Toledo,4,1,06/04/2016,"Me decepciono el Lounge El Hotel es excelente, muy bien situado y con habitaciones limpias y muy tranquilas. El wifi es de pago! (estamos en el sXXI) y funciona razonablemente bien. El desayuno en la planta baja es muy bueno pero en el Lounge es decepcionante (te cobran recargo por hacerte una tortilla Francesa y a mi juicio es pequeño) El..   "
JW Marriott Hotel Lima,rn361232473,Madrid,España,Paco L,5,1,03/04/2016,"¡Como te cuidan! Suelo ir bastante a este Hotel y es perfecto como su personal; empezando por la Recepcion y su equipo con Claudia Torres como Gerente y continuando con el Executive Floor, maravilloso con Milagros Monja, Ken y el resto del equipo pendientes de ti a mas no poder.. Un Afectuoso saludo y seguid asi. ;) "
JW Marriott Hotel Lima,rn360987769,,,ANDREGON3,5,1,02/04/2016,Excelente Hola escribo para contarles que estuve visitando este hotel en Lima y es realmente excelente tanto las habitaciones como el lugar donde esta hubicado frente al mar. Lo recomiendo! El personal y su servicio es muy bueno y atento! Al frente se encuentra un shopping con varias tiendas y restaurantes 
JW Marriott Hotel Lima,rn360799256,Lima,Peru,Dona E,3,0,01/04/2016,"Excelente Lo mejor de lima, muy bueno desayuno a1. habitaciones comodas, cerca a cualquier centro comercial, excelente atencion desde que entramos, super bueno recomendable, para algo de pasada, el mejor de lim "
JW Marriott Hotel Lima,rn360751326,Maracaibo,Venezuela,Daniela C,5,1,01/04/2016,"Excelente Hotel e inmejorable ubicacion En semana Santa mi familia y yo 9 personas visitamos el Hotel, nos alojamos x 2 noches, el servicio en la recepcion se colapsa un poco cuando hay muchos huespedes llegando, la ubicacion es inmejorable preciosa vista en Miraflores y un Centro Comercial enfrente con exquisitos restaurantes peruanos y comida internacional recomendados, el concierge fue de muchisima ayuda para reserva..   "
JW Marriott Hotel Lima,rn360664657,,,Juan Fernando O,4,1,01/04/2016,Gratamente sorprendido Pues bien siendo mi primer visita al Peru y la primera en el Marriott a sido una muy buena experiencia el hotel es bueno las instalaciones son excelentes y las personas que trabajan en el siempre estan dispuestos a ayudar en lo que sea son muy amables la unica razon por la que no le di 5 puntos fue solo..   
JW Marriott Hotel Lima,rn360386428,,,Anna M,5,1,31/03/2016,"Inmejorable opcion En mi primer encuentro con la ciudad de Lima en el Peru, no pudo ser mejor opcion llegar al JWMarriot. Miraflores, el hotel se muestra moderno y actual, estuve hospedada en un piso ejecutivo donde la habitacion era lo suficientemente amplia para dos personas, sus juegos de camas muy acogedoras y si hay q destacar algo es su heavenly bed..   "
JW Marriott Hotel Lima,rn359800934,Ciudad de Mexico,Mexico,Chrispapo,5,1,29/03/2016,"Hospitalidad para viajeros extremos Viajando a Lima siempre encuentro en este hotel la calidad, calidez y consistencia que una persona que viaja mucho necesita para pasar esos dias fuera de casa. Recomiendo las habitaciones que estan modernamente renovadas de los pisos superiores y el executive lounge aunque pequeño, es de los mejores que he conocido en todo el mundo. El unico punto debil es..   "
JW Marriott Hotel Lima,rn359192097,,,Alfredo V,3,0,27/03/2016,"EL MEJOR DEBE MEJORAR.. Estuvimos una noche x Semana Santa y realice la reserva por internet que es simple, Nos ofrecieron un early check in, por lo que ingresamos a la 1pm, pero tuvimos un pequeño inconveniente con nuestra habitacion porque no tenia vista frontal al mar, por lo que nos cambiaron a otra hab en el piso 7, esperamos cerca de 20 min..   "
JW Marriott Hotel Lima,rn359126731,,,007cricri,3,0,27/03/2016,"mala atencion en recibidor de todos los hoteles que he visitado el hotel del que no me imaginaria mala atencion por parte de los botones en el recibidor al llegar era del marriot, por mi trabajo he visitado caso todos lo hoteles de lima y el que tiene los botones mas distraidos y poco serviciales es el marriot hoy llegue y el conductor hizo..   "
JW Marriott Hotel Lima,rn359077235,Buenos Aires,Argentina,Pato B,5,1,27/03/2016,"Completo Atencion precio servicio ubicacion y calidad.. no se puede pedir mas a este excelente hotel. La vista al mar junto con la cercania al centro comercial.. casino, fitness room completo.. es imposible pasarla mal en este prestigioso hotel. "
JW Marriott Hotel Lima,rn357886723,Lima,Peru,Luciana B,5,1,23/03/2016,"Excelente hotel es muy buena opcion de hospedaje en Lima, el servicio es de lujo y las habitaciones son muy comodas, sin embargo, lo principal es que es centrico, tiene una vista increible y esta al frente de larcomar que es un sitio ideal para pasar o comer algo o hacer compras. "
JW Marriott Hotel Lima,rn357665612,Lima,Peru,Mapi G,4,1,22/03/2016,"muy buen hotel Fui a pasar una noche con mi familia, la pasamos muy bien, la vista al mar linda, solo me parecio un poco pequeño el baño para ser un hotel tan fino y lujoso, pero fuera de eso todos los detalles muy bien cuidados y la atencion muy esmerada, olvidamos unas prendas y cargadores de celular y nos los tenian muy..   "
JW Marriott Hotel Lima,rn356888600,Bogota,Colombia,El_Profe_57,5,1,19/03/2016,"La mejor de las vistas Otros hoteles de lujo pueden competir en servicio, en comida, en aseo, etc. Pero lo que es en vistas, ninguno le gana a este. Alli uno tiene el Pacifico a sus pies. Nada como despertar y contemplar el oceano.. "
JW Marriott Hotel Lima,rn356773636,Lima,Peru,sjara78,5,1,19/03/2016," EXCELENTE UBICACION Y SERVICIO DE LUJO Hace unos dias, un grupo de amigas del Colegio fuimos al Marriott a festejar el cumpleaños de una gran amiga y el reencuentro con una amiga que regresaba a nuestro pais despues de muchos años, nos reunimos en el Restaurant La Vista donde disfrutamos de un delicioso y variado Buffet Nos ubicaron en una mesa con una impresionante vista al..   "
JW Marriott Hotel Lima,rn356672184,Lima,Peru,Elena V,5,1,18/03/2016,"UNA EXCELENTE SELECCION Y UBICACION UN BELLO EDIFICIO. fue una excelente experiencia recibidos por un ballet en la puerta del hotel que te abre la puerta del taxi, la recepcionista ya esta ubicandote en tu respectiva habitacion y la preocupacion del anfitrion por saber si esta todo bien o te alcanza algo que tu puedas desear o necesitar, un viaje de placer y confort no lo olviden lo..   "
JW Marriott Hotel Lima,rn356568746,,Colombia,Jenny C,5,1,18/03/2016,"Increible Super recomendable, el personal muy amable, muy bien ubicado, tiene una vista impresionante, el servicio en mi visita al lobby bar fue excelente nos atendio Erick ayala y nos recomendo lugares turisticos en lima para poder visitar en nuestros tiempos libres, la pase muy bien no cabe duda que es un hotel 5 estrellas, definitivamente lo recomiendo. "
JW Marriott Hotel Lima,rn356506054,Patagonia chilena,Chile,Pedro B,5,1,18/03/2016,"VIAJE DE NEGOCIOS - EXCELENTE Conozco el Hotel desde el año 2003, sus servicios siempre se mantienen impecables con la calidad y servicios de Marriott. Personal excesivamente amable, cordiales, muy tipico de los peruanos. La habitacion ejecutiva con vista al mar maravillosa, aunque no son tan amplias, pero incluyen servicios como internet sin cargo y acceso al lounge ejecutivo, por lo cual no hay..   "
JW Marriott Hotel Lima,rn356177977,Lima,Peru,Silvia930,5,1,16/03/2016,"Inolvidable experiencia Excelente lugar para turismo y negocios. Personalmente vengo a tomar lounche con amigas y tambien en alguna reunion mensual de primas de primas.. La atencion es excelente. Yo no he tenido la experiencia de hospedarme, y solo me limito a dar mi opinion en la atencion del restaurante. Los desayunos BUENAZOS. "
JW Marriott Hotel Lima,rn356161811,Colorado,USA,Stephanie T,5,1,16/03/2016,"Hay que volver Excelente en todo desde el rapido servicio de lujo hasta la cordial despedida, esta frente a un centro comercial muy grande y con gran variedad de tiendas, el restaurante excelente, el bar del segundo piso si que excedio mis expectativas la musica fue buena el servicio optimo y de calidad gracias a Erick Ayala y los platos deliciosos. Muy recomendable "
JW Marriott Hotel Lima,rn356098148,Los Ingeles,USA,Jayden J,5,1,16/03/2016,"Really Nice No es la primera vez que visito Lima, pero si la primera vez que visito un Marriott, quede realmente fascinado, hace algunos dias por la tarde tuve un almuerzo con mi hermano en el restaurante y todo el personal very very helpful la comida buena so se paga lo justo. Por la noche regrese al bar del hotel y la..   "
JW Marriott Hotel Lima,rn355956237,Bogota,Colombia,Manuguitartraveler,5,1,16/03/2016,"Gran lugar para negocios y turismo Justo frente a el Jw marriot de Lima esta la playa limeña que gran combinacion este hotel muy bien diseñado con un lobby espacioso y encantador tiene varios aspectos que a mi parecer lo hacen un perfecto lugar para negocios y turismo, mi estadia alli fue a razon de una rueda de negocios propuesta por el gobierno peruano espacios increibles..   "
JW Marriott Hotel Lima,rn355863570,,,Paul A,5,1,15/03/2016,"Trato amable, platos deliciosos! Una noche divertida, tienen pantalla LCD gigante donde pude ver el partido mientras tomabamos unas cervezas y unos makis, el bar se veia limpio y moderno, el servicio excelente gracias a Erick Ayala, el nos trato muy bien como suelen hacerlo en los JW fue super atento, ya extrañaba este tipo de servicio, la amabilidad resalta, todos parecen ser muy..   "
JW Marriott Hotel Lima,rn355633011,Santiago,Chile,AlvaroVallejo,4,1,15/03/2016,"Muy buen hotel Buen hotel en todo sentido, con un muy buen gimnasio y piscina ubicada en el piso 6 con muy buena vista al mar. La habitaciones son muy comodas con lo necesario para que la estancia sea buena. El bar es muy bueno tambien y, si quieres tomar cafe puedes optar por bajar al primer piso donde hay un Starbucks. "
JW Marriott Hotel Lima,rn355380805,Lima,Peru,Sophia_R123,5,1,14/03/2016,"Personal de lujo No es la primera vez que trabajamos con el Marriot, hemos venido realizando eventos corporativos ya dos años, no obstante, me gustaria resaltar la increible atencion que he recibido en esta ultima ocasion, no solo por sus comodas instalaciones, sino por el excelente personal que se desempeña. Personal altamente dedicado al confort del visitante. Desde Vanessa quien fue mi primer..   "
JW Marriott Hotel Lima,rn354689937,Satiago,Chile,Marilu V,5,1,11/03/2016,"Maravilloso hotel Es un hotel espectacular, la dedicacion de los empleados, especialmente Ken, del vip lounge. Las habitaciones son muy comodas, la vista al mar. El bar y los sushi se son exquisitos. Es una experiencia en si misma. Me falto tiempo para usar las sales de baño. "
JW Marriott Hotel Lima,rn354672452,Lima,Peru,JALIWOLF,5,1,11/03/2016,"Buffet Muy buena la comida, deliciosa. Buena atencion y un buen lugar mu agradable. Para conferencias negocios reuniones es un buen lugar, cuenta con un buen ambiente muy equipado buena infraestructura. Atencion muy oportuna.. "
JW Marriott Hotel Lima,rn354309641,Guayaquil,Ecuador,felipe t,5,1,10/03/2016,"Lo mejor de Lima, by far Llegamos el viernes a Lima para asistir al concierto de los Rolling Stones el domingo, eramos un grupo de 20 amigos, desde el momento que arribamos se siente un ambiente de servicio de primera categoria deselos chicos que te llevan las maletas, son muy educados. La atencion en la recepcion tambien es de primera, super servicial..   "
JW Marriott Hotel Lima,rn352214025,,,Sally H,5,1,01/03/2016,"Evento Planificacion BBVA - 01 de Marzo La verdad es primer evento que realizo en el Marriot con el BBVA y les puedo decir que fue un gusto, Tiene un gran equipo humano, todos el personal es de primera la importancia de la calidad en el servicio es muy importante para que el evento en conjunto sea un exito. Como son un gran equipo no puedo dejar..   "
JW Marriott Hotel Lima,rn351955094,,,Francisco P,5,1,29/02/2016,"Eventos de primera! Eventos, Banquetes, y Audiovisuales La verdad que un placer hacer nuestros Eventos en el hotel. Todo el equipo no hace mas que ayudarnos y atendernos de la mejor manera, y asegurarse que nuestros clientes esten siempre bien atendidos. Mariella Zutta, Fabiola Esquivel, Wilfredo, Grace, etc, etc.. todos nos atienden siempre de primera! Muchas gracias de parte de todo el equipo de ALTAG Peru. "
JW Marriott Hotel Lima,rn351402097,,,Ruth Karyn P,5,1,27/02/2016,"BELLISIMO Es un hotel Bellisimo, si tienen oportunidad de hospedarse alli veran el malecon de Larcomar y al frente tendran las mejores tiendas el lugar es super seguro y el personal super amable. Super recomendable "
JW Marriott Hotel Lima,rn351286043,Arequipa,Peru,Alonso C,5,1,27/02/2016,"Excelente atencion al cliente Cuando tienes muchos hoteles 5 hoteles en una ciudad lo que hace la diferencia es la atencion al cliente y en mi experiencia en este hotel, se esmeraron mucho en dicho punto. Las instalaciones son muy buenas, muy limpio y bien cuidado con todo lo que uno esperaria de un hotel como este. El ambiente de piscina es bonito pero..   "
JW Marriott Hotel Lima,rn351092484,,,Kensel G,5,1,26/02/2016,"Evento Recamier Erice Ayala, Lorena Sime, Rudy Mendiola y todo el equipo del hotel fueron muy amables y serviciales. Muy profesionales y atentos. Quedo muy agradecido. Lo recomiendo muchisimo. Felicitaciones al hotel y a su gran equipo de trabajo "
JW Marriott Hotel Lima,rn350939071,Lima,Peru,Jose G,5,1,25/02/2016,"Excelente lugar, comodo y centrico Excelente hotel con buena ubicacion, centrico. En el corazon de Miraflores, con el centro comercial Larcomar al frente. El hotel cuenta con habitaciones con Jacuzzi, restaurant, bar. Casino. Un Starbucks en el primer piso. Es un hotel en promedio alto en precio, excelente para negocios. "
JW Marriott Hotel Lima,rn349976173,Lima,Peru,Claudia B,5,1,22/02/2016,"Evento Boda Claudia & Luis Enrique Nos gusto mucho el apoyo al 1000% de los chicos en recepcion de mi boda. Agradecer de manera especial a Erick Ayala que estuve muy pendiente de los pormenores durante el evento, denotanto total compromiso con que todo salga perfecto. Elsa Velarde, antes del evento estuvo muy pediente de algunos detalles para los invitados, junto con el DJ. Y la..   "
JW Marriott Hotel Lima,rn349762444,,,Abrahan Z,5,1,21/02/2016,"Jw marriott Es la segunda ocacion que me hospedo en este hotel, totalmemte recomendable desde la limpieza las habitaciones pero sobre todo la atencion del personal es maravillosa, la comida bastante buena las instalaciones del hotel perfectas "
JW Marriott Hotel Lima,rn348624592,Lima,Peru,ClaudiaNdG,5,1,17/02/2016,"Una vista envidiable Si vas por un fin de semana, trata, dentro de lo posible en reservar una suite ejecutiva. Tiene la mejor vista del Pacifico. Es super espaciosa, el baño es de marmol y muy bien distribuido. El kitchenette cuenta con cafetera muy moderna Illy. Ambos ambientes tienen televisores con DirecTV y vista al mar. Ademas tienes acceso al Executive Lounge con..   "
JW Marriott Hotel Lima,rn348194543,Lima,Peru,CinthyaLeon29,5,1,16/02/2016,"Destacable Lleve a mi mama a pasar el fin de semana en el hotel y realmente fue increible. La atencion de todo el equipo fue fenomenal. Destaco la cordialidad del equipo de hsk, quienes siempre nos saludaron y desearon una gran estadia en todo momento. 100% recomendable:) "
JW Marriott Hotel Lima,rn347985454,Lima,Peru,szarzar,5,1,15/02/2016,"Impecable Gracias JW Marriott Lima, por una noche espectacular. Gracias Fabiola Esquivel, gracias Christian Bustamante y a traves de ustedes a todo el equipo que los acompaño la noche del sabado 13 de febrero. La cena y la atencion fueron impecables. "
JW Marriott Hotel Lima,rn347876585,Lima,Peru,Claudia A,5,1,15/02/2016,"Mi boda espectacular Muchas gracias al JW Marriott de Lima por darnos la mejor noche de nuestras vidas. Sergio y yo estuvimos muy contentos y muy bien atendidos, y que decir de nuestros amigos y familia que se fueron encantados. Queremos darle las gracias especialmente a Rocio, por coordinar la boda y cuidar los detalles, y a Josimar, Fabiola, Vanesa y Gianfranco quienes..   "
