"fromuserid","touserid","numbercalls","secondscalls"
"350026","350334","5","3175"
"350091","350014","7","2263"
"350195","350030","13","2701"
"350189","350005","16","1899"
"350043","350054","17","1645"
"350080","350043","7","737"
"350092","350018","8","1456"
"350002","350004","5","1303"
"350010","350022","4","2131"
"350039","350232","12","3305"
"350052","350202","17","1012"
"350105","350234","5","1174"
"350016","350017","19","1756"
"350134","350263","1","240"
"350059","350050","12","2610"
"350119","350124","16","908"
"350188","350051","6","964"
"350031","350030","10","3572"
"350088","350081","13","1703"
"350142","350350","18","1066"
"350021","350039","9","2413"
"350076","350008","7","2902"
"350046","350009","6","693"
"350184","350188","20","287"
"464386","350349","15","2016"
"350147","350330","14","238"
"350094","350290","11","3290"
"350028","350130","5","1686"
"350161","350231","13","11"
"350168","350245","20","441"
"350087","350088","8","1715"
"350102","350104","11","3568"
"350146","350006","3","2332"
"350187","350084","19","3396"
"350036","350011","17","3455"
"350194","350067","4","2824"
"433648","350339","11","338"
"350038","350201","11","1356"
"350037","350040","12","1484"
"350023","350323","24","4401"
"350022","350009","3","2520"
"350061","350059","20","3191"
"350160","350008","4","1105"
"350149","350153","11","2512"
"350025","350015","5","297"
"350084","350288","11","674"
"350118","350028","18","619"
"350086","350280","29","3268"
"350017","350370","11","3256"
"350110","350005","14","787"
"350158","350197","4","1648"
"350104","350094","19","157"
"350143","350031","19","1473"
"350005","350004","2","2383"
"350108","350364","5","888"
"350116","350136","19","227"
"350138","350370","12","1222"
"350030","350022","1","1447"
"350072","350008","2","1050"
"350166","350165","1","240"
"350135","350140","14","1590"
"350167","350172","13","2477"
"350109","350241","8","1473"
"350006","350019","1","1821"
"350171","350028","17","3550"
"350019","350001","20","1545"
"350063","350058","13","364"
"350098","350293","15","1174"
"350011","350283","11","1722"
"350120","350006","3","3111"
"350069","350364","13","174"
"350186","350349","6","2668"
"350122","350147","16","1898"
"350177","350174","4","2676"
"350082","350021","11","2068"
"350172","350275","6","831"
"350139","350018","2","2719"
"357758","350001","14","2607"
"350074","350041","15","2753"
"350129","350072","15","854"
"350067","350157","1","1392"
"350107","350353","18","1979"
"350128","350126","10","3277"
"350089","350080","18","3"
"350170","350014","40","4153"
"350164","350158","7","210"
"350155","350144","13","2321"
"350027","350030","5","1148"
"350198","350197","17","1826"
"350140","350331","24","1491"
"350197","350205","16","2813"
"350179","350174","13","3437"
"350175","350009","6","4426"
"350106","464386","13","3530"
"350008","350234","4","842"
"350040","350016","1","2332"
"350131","350037","13","2905"
"491615","350320","8","171"
"350183","350250","1","1292"
"350145","350030","4","372"
"350099","350089","13","1797"
"350095","350098","8","1494"
"350085","350088","11","1842"
"350013","350148","2","1731"
"350117","350121","20","99"
"350004","350077","2","3341"
"350050","350322","3","13"
"350035","350244","6","671"
"350193","350298","3","2342"
"350075","350071","2","2597"
"350185","350038","7","2164"
"350125","350123","20","1708"
"350068","350176","15","2226"
"576832","350394","18","1601"
"350173","350048","1","1397"
"350014","350175","19","1249"
"350141","350231","13","2231"
"350136","350232","8","4339"
"350156","350016","18","1365"
"350148","350099","11","3538"
"350057","350278","9","3391"
"350112","350179","10","1267"
"350169","350291","2","2609"
"350182","350025","14","607"
"350015","350006","8","3597"
"350190","350187","7","2517"
"350115","350213","10","74"
"350114","350036","9","1698"
"388018","350084","6","594"
"350077","350013","15","637"
"350126","350030","15","3135"
"350071","350141","8","3517"
"350020","350082","4","3523"
"350176","350025","11","2778"
"350044","350021","6","2066"
"350165","350157","13","2218"
"350174","350052","3","1613"
"350032","350014","14","2591"
"350130","350014","14","1576"
"350055","350021","6","3417"
"350060","350174","10","1476"
"350103","350080","3","2834"
"350111","350114","3","2755"
"350133","350042","19","2768"
"350054","576832","19","3062"
"350058","350032","10","1740"
"350009","350268","12","3041"
"350053","350044","19","2461"
"350041","350039","9","316"
"350192","350321","11","2658"
"350062","350016","3","2717"
"350113","350367","17","3267"
"489312","350207","19","3418"
"350042","350022","11","810"
"350150","350145","13","1592"
"350026","350365","6","206"
"350091","350019","8","518"
"350195","350032","4","537"
"350189","350006","14","2889"
"350043","350039","10","4157"
"350080","350235","36","5504"
"350092","350091","14","1100"
"350002","350005","15","571"
"350010","350007","1","1365"
"350039","350036","13","3557"
"350052","350275","12","3553"
"350105","350115","14","757"
"350016","350025","9","1919"
"350134","350359","4","579"
"350059","350051","15","3118"
"350119","350197","1","953"
"350188","350071","6","2207"
"350031","350207","19","1345"
"350088","350085","9","1143"
"350142","350143","1","3089"
"350021","350016","17","2911"
"350076","350012","19","1858"
"350046","350014","3","1201"
"350184","350069","20","3375"
"464386","350272","5","711"
"350147","350103","10","48"
"350094","350263","13","2479"
"350028","350334","1","712"
"350161","350166","4","780"
"350168","350049","20","959"
"350087","350215","6","1809"
"350102","350392","17","3579"
"350146","350007","11","8"
"350187","350276","4","1348"
"350036","350019","8","1165"
"350194","350217","3","2492"
"433648","350316","1","1835"
"350038","350393","5","1242"
"350037","350036","2","1850"
"350023","350031","27","3122"
"350022","350011","15","592"
"350061","350060","8","1203"
"350160","350013","13","1603"
"350149","350142","20","2588"
"350025","350069","11","3138"
"350084","350073","3","3106"
"350118","350036","17","2065"
"350086","350215","2","604"
"350017","350059","20","2510"
"350110","350016","19","556"
"350158","350155","19","2743"
"350104","350095","5","2216"
"350143","350032","1","2848"
"350005","350054","12","3105"
"350108","350072","11","3368"
"350116","350240","2","2960"
"350138","350143","8","3369"
"350030","350118","31","4286"
"350072","350011","7","571"
"350166","350161","2","453"
"350135","350125","10","2522"
"350167","350245","12","3556"
"350109","350272","15","2994"
"350006","350015","36","2851"
"350171","350035","17","579"
"350019","350020","20","4105"
"350063","350154","16","1467"
"350098","350324","13","594"
"350011","350014","20","2099"
"350120","350009","12","3139"
"350069","350245","4","100"
"350186","350380","14","3474"
"350122","350120","8","457"
"350177","350270","14","1242"
"350082","350028","4","1190"
"350172","350371","19","1850"
"350139","350020","12","3097"
"357758","350159","4","1207"
"350074","350042","14","3119"
"350129","350126","35","3258"
"350067","350253","18","2251"
"350107","397902","15","1490"
"350128","397902","15","2033"
"350089","350345","9","3376"
"350170","350164","18","2925"
"350164","350162","8","2679"
"350155","350156","7","2868"
"350027","350234","19","866"
"350198","350293","21","6429"
"350140","350362","1","1021"
"350197","350186","10","1822"
"350179","350170","12","912"
"350175","576832","1","3527"
"350106","350334","13","2042"
"350008","350007","7","2731"
"350040","350020","12","2634"
"350131","350133","12","3160"
"491615","350182","1","691"
"350183","350185","11","2013"
"350145","350044","4","1575"
"350099","350197","10","2573"
"350095","350221","5","2579"
"350085","350238","16","2752"
"350013","350010","16","3478"
"350117","350118","2","3105"
"350004","350012","20","1367"
"350050","350053","10","2101"
"350035","350071","9","2666"
"350193","350071","10","2186"
"350075","350083","19","1363"
"350185","350188","12","2806"
"350125","350119","12","3494"
"350068","350249","22","5095"
"576832","350256","7","1918"
"350173","350144","19","459"
"350014","350229","9","1221"
"350141","350131","3","808"
"350136","350305","1","16"
"350156","350018","3","2936"
"350148","350153","16","3310"
"350057","350117","1","3086"
"350112","350306","23","7609"
"350169","350172","20","4909"
"350182","350055","27","1535"
"350015","350007","14","5836"
"350190","350188","15","1712"
"350115","350286","17","678"
"350114","350046","16","711"
"388018","350180","18","5117"
"350077","350217","9","2367"
"350126","350031","17","1328"
"350071","350291","18","1187"
"350020","350017","18","1204"
"350176","350171","16","2641"
"350044","350039","2","1387"
"350165","350115","1","2937"
"350174","350071","2","192"
"350032","350021","11","3161"
"350130","350068","20","1002"
"350055","350117","14","2199"
"350060","350020","16","2836"
"350103","350084","12","126"
"350111","350133","11","662"
"350133","350048","22","4022"
"350054","350171","6","681"
"350058","350351","3","13"
"350009","350134","16","2474"
"350053","350051","5","1008"
"350041","350174","9","3062"
"350192","350202","4","1299"
"350062","350070","18","3470"
"350113","350002","2","297"
"489312","350203","26","5299"
"350042","350023","12","2193"
"350150","489312","11","573"
"350026","350180","4","3462"
"350091","350023","12","1075"
"350195","350036","22","3518"
"350189","350007","5","144"
"350043","350035","13","1994"
"350080","350212","3","1926"
"350092","350337","14","2093"
"350002","350006","9","953"
"350010","350015","19","1045"
"350039","350044","18","454"
"350052","350060","7","957"
"350105","350211","14","1042"
"350016","350021","14","2318"
"350134","350048","6","1318"
"350059","350052","11","2838"
"350119","350024","6","926"
"350188","350084","13","376"
"350031","350034","12","2113"
"350088","350086","12","951"
"350142","350140","5","469"
"350021","350066","13","1024"
"350076","350020","6","1009"
"350046","350016","16","1700"
"350184","350357","18","2737"
"464386","350134","14","3143"
"350147","350157","8","3089"
"350094","350048","2","3217"
"350028","350161","9","1670"
"350161","350162","11","3475"
"350168","350176","1","2409"
"350087","350242","3","3463"
"350102","350158","17","2880"
"350146","350008","16","1755"
"350187","350188","18","1744"
"350036","350023","1","484"
"350194","350190","17","2694"
"433648","350078","5","1746"
"350038","350005","7","1116"
"350037","350217","7","137"
"350023","350277","7","1687"
"350022","350013","9","682"
"350061","350062","1","1022"
"350160","350026","14","2684"
"350149","350342","10","3423"
"350025","350027","18","5234"
"350084","350361","14","2282"
"350118","350117","16","2562"
"350086","397902","1","2196"
"350017","350251","18","3512"
"350110","350019","6","2762"
"350158","350078","6","1768"
"350104","350096","15","2998"
"350143","350039","2","449"
"350005","350158","3","485"
"350108","350103","16","598"
"350116","350205","16","1536"
"350138","350024","14","565"
"350030","350018","12","1087"
"350072","350016","2","1229"
"350166","350169","4","3054"
"350135","350144","15","2525"
"350167","350126","17","3346"
"350109","350099","14","2139"
"350006","350323","4","1759"
"350171","350055","5","2193"
"350019","350105","13","2588"
"350063","350031","19","3274"
"350098","350001","4","1287"
"350011","350356","18","732"
"350120","350018","18","921"
"350069","350395","2","1727"
"350186","464386","2","2082"
"350122","350055","11","2288"
"350177","350228","8","1715"
"350082","350029","13","1688"
"350172","350198","18","588"
"350139","350031","18","1401"
"357758","350005","19","795"
"350074","350046","18","1997"
"350129","350130","10","2407"
"350067","350349","18","1732"
"350107","350103","5","2703"
"350128","350176","4","176"
"350089","350364","13","1406"
"350170","350087","18","3483"
"350164","350166","20","619"
"350155","350121","17","1035"
"350027","350307","15","3218"
"350198","350251","2","954"
"350140","350093","16","1422"
"350197","350025","3","1131"
"350179","350182","10","2450"
"350175","350136","1","3589"
"350106","350161","16","1715"
"350008","350307","19","2372"
"350040","350022","11","3453"
"350131","350302","20","1273"
"491615","350374","8","1446"
"350183","350339","16","3113"
"350145","350058","19","2756"
"350099","350389","2","541"
"350095","350102","18","2864"
"350085","350334","9","1618"
"350013","350233","20","1185"
"350117","350114","5","2510"
"350004","350300","10","1481"
"350050","350049","3","2617"
"350035","350144","8","1769"
"350193","350221","5","1700"
"350075","350398","16","2877"
"350185","350315","10","1400"
"350125","350323","15","3400"
"350068","350076","15","2905"
"576832","350294","19","1180"
"350173","350294","20","3266"
"350014","350033","27","3004"
"350141","350139","19","2216"
"350136","350263","9","2092"
"350156","350023","1","1617"
"350148","350107","6","1771"
"350057","350171","8","2525"
"350112","350133","14","2568"
"350169","350157","17","303"
"350182","350064","19","3035"
"350015","350008","16","2382"
"350190","350189","11","1072"
"350115","350382","7","2998"
"350114","350050","6","913"
"388018","350103","13","2648"
"350077","350290","18","1887"
"350126","350043","18","1224"
"350071","350387","13","286"
"350020","350228","18","2423"
"350176","350010","18","2856"
"350044","350040","33","4104"
"350165","350307","7","1557"
"350174","350317","29","3464"
"350032","350022","15","5188"
"350130","489312","5","1005"
"350055","576832","20","187"
"350060","350393","15","3398"
"350103","350086","19","2118"
"350111","350091","3","691"
"350133","350070","15","1871"
"350054","350375","34","3985"
"350058","350005","5","525"
"350009","350230","9","1312"
"350053","350052","6","1036"
"350041","650417","7","3143"
"350192","350275","18","2595"
"350062","350066","19","747"
"350113","350098","10","3408"
"489312","350311","13","1584"
"350042","350032","5","317"
"350150","350045","5","992"
"350026","350234","1","1872"
"350091","350030","6","812"
"350195","350038","14","1120"
"350189","350009","17","1839"
"350043","650417","2","323"
"350080","350170","1","902"
"350092","350387","1","2710"
"350002","350007","21","3576"
"350010","350011","10","2255"
"350039","350040","19","589"
"350052","350114","19","3168"
"350105","350219","4","1704"
"350016","350006","7","1102"
"350134","350144","16","1336"
"350059","350053","13","3229"
"350119","350120","8","466"
"350188","350091","19","2774"
"350031","350238","11","2520"
"350088","350087","8","2711"
"350142","350009","11","2882"
"350021","350312","1","1843"
"350076","350021","13","2643"
"350046","350018","13","663"
"350184","350196","7","2101"
"464386","350326","19","98"
"350147","350211","16","486"
"350094","350144","10","3134"
"350028","350211","18","252"
"350161","350139","16","133"
"350168","350330","20","3171"
"350087","350131","11","3135"
"350102","350254","15","833"
"350146","350011","6","3305"
"350187","350242","15","3441"
"350036","350024","9","2344"
"350194","350148","8","3453"
"433648","350228","8","3290"
"350038","350182","13","2796"
"350037","350044","13","241"
"350023","350008","14","1005"
"350022","350014","2","3368"
"350061","350063","15","1410"
"350160","350028","5","2528"
"350149","350146","20","195"
"350025","350219","1","1285"
"350084","350050","8","1792"
"350118","350121","7","928"
"350086","350084","20","8028"
"350017","350132","28","5234"
"350110","350026","14","1738"
"350158","350374","12","1164"
"350104","350097","7","2205"
"350143","350041","14","1281"
"350005","350081","14","1111"
"350108","350230","5","1051"
"350116","350163","10","4840"
"350138","350174","15","1438"
"350030","350026","19","9"
"350072","350023","2","246"
"350166","350196","26","4619"
"350135","350121","11","1018"
"350167","397902","2","1172"
"350109","350118","2","3435"
"350006","350246","39","4454"
"350171","350062","25","2473"
"350019","350297","15","1626"
"350063","350062","5","2687"
"350098","350013","15","2831"
"350011","489312","11","2009"
"350120","350023","20","1778"
"350069","350072","16","1823"
"350186","350184","4","354"
"350122","350124","16","1786"
"350177","350109","11","3500"
"350082","350033","9","2258"
"350172","350252","20","737"
"350139","350034","4","3364"
"357758","350228","4","789"
"350074","350051","2","613"
"350129","350180","6","2950"
"350067","350057","7","2811"
"350107","350211","17","2277"
"350128","350261","2","2397"
"350089","350376","16","1424"
"350170","350183","5","1688"
"350164","350078","18","3050"
"350155","350152","33","3391"
"350027","350134","10","2203"
"350198","350343","6","3261"
"350140","350189","2","2646"
"350197","350190","11","2574"
"350179","350186","16","3275"
"350175","350263","12","1367"
"350106","350311","16","3544"
"350008","350015","7","691"
"350040","350024","15","1361"
"350131","350129","16","1819"
"491615","350201","19","2303"
"350183","350393","8","37"
"350145","350063","19","3295"
"350099","350270","1","1077"
"350095","350087","4","2261"
"350085","350215","17","3568"
"350013","350006","13","1259"
"350117","350222","17","3538"
"350004","350223","18","3075"
"350050","350057","19","165"
"350035","350294","18","432"
"350193","350175","10","1422"
"350075","350087","1","3041"
"350185","350334","7","533"
"350125","350127","10","2357"
"350068","350149","7","2904"
"576832","350129","7","2601"
"350173","350252","19","3043"
"350014","350329","19","589"
"350141","350143","2","2697"
"350136","350132","5","2612"
"350156","350032","6","897"
"350148","350138","20","248"
"350057","350286","18","342"
"350112","350187","3","623"
"350169","350176","15","411"
"350182","350068","9","3168"
"350015","350009","15","2074"
"350190","350191","16","1725"
"350115","350017","16","223"
"350114","350051","11","3475"
"388018","350253","24","3019"
"350077","350209","17","971"
"350126","350054","19","287"
"350071","350064","20","2441"
"350020","350013","17","3534"
"350176","350179","3","2140"
"350044","350041","1","2239"
"350165","350361","17","663"
"350174","350175","14","444"
"350032","350023","11","531"
"350130","350191","9","2420"
"350055","350309","15","1689"
"350060","350028","13","2263"
"350103","350102","15","310"
"350111","350026","13","1830"
"350133","350078","11","330"
"350054","350052","12","667"
"350058","350059","17","2455"
"350009","350011","1","1458"
"350053","350054","14","1710"
"350041","350297","12","371"
"350192","350156","3","987"
"350062","350162","9","1585"
"350113","350183","23","801"
"489312","350138","7","1719"
"350042","350033","7","2158"
"350150","350153","14","2080"
"350026","350392","10","739"
"350091","350041","6","407"
"350195","350051","17","956"
"350189","350027","9","1915"
"350043","350266","11","2658"
"350080","350362","20","3128"
"350092","350172","7","1539"
"350002","350008","11","2566"
"350010","350019","18","877"
"350039","350194","11","2839"
"350052","350360","14","3241"
"350105","350088","19","2273"
"350016","350010","5","1617"
"350134","350240","9","2339"
"350059","350054","8","1301"
"350119","350366","10","380"
"350188","350093","12","2200"
"350031","350219","11","935"
"350088","350089","14","376"
"350142","350144","5","320"
"350021","350247","1","1735"
"350076","350025","14","2422"
"350046","350019","8","3282"
"350184","350365","6","2445"
"464386","350153","5","3193"
"350147","350176","5","161"
"350094","350102","13","3467"
"350028","350146","13","3137"
"350161","350189","18","951"
"350168","350157","11","2244"
"350087","350223","5","1033"
"350102","350081","15","2767"
"350146","350012","14","2442"
"350187","350365","18","564"
"350036","350025","14","2073"
"350194","350275","19","3407"
"433648","350097","5","623"
"350038","350332","2","368"
"350037","350148","2","800"
"350023","350308","10","1944"
"350022","350015","16","178"
"350061","350075","2","2493"
"350160","350040","2","3387"
"350149","350150","13","2340"
"350025","350315","8","2037"
"350084","350027","9","1418"
"350118","350175","6","2365"
"350086","350288","1","1285"
"350017","350186","12","3754"
"350110","350027","8","2308"
"350158","350159","14","1993"
"350104","350098","13","3586"
"350143","350043","20","2381"
"350005","350327","13","2745"
"350108","350111","6","2461"
"350116","350098","10","1791"
"350138","350128","19","336"
"350030","350057","14","924"
"350072","350036","16","1100"
"350166","350154","10","727"
"350135","350129","6","3526"
"350167","350180","28","1731"
"350109","350222","11","4974"
"350006","350396","5","898"
"350171","350066","8","2050"
"350019","350351","4","1483"
"350063","350308","18","105"
"350098","350205","6","1987"
"350011","350387","4","1232"
"350120","350029","10","3268"
"350069","350195","5","1143"
"350186","350019","9","812"
"350122","350078","1","232"
"350177","350301","18","3064"
"350082","350034","2","2190"
"350172","350175","2","837"
"350139","350040","1","3300"
"357758","350013","15","283"
"350074","350068","33","5650"
"350129","350134","34","3327"
"350067","350303","16","1766"
"350107","350188","8","2533"
"350128","350130","9","3292"
"350089","350257","14","1964"
"350170","388018","11","2650"
"350164","350170","10","3074"
"350155","350148","12","1588"
"350027","350069","16","2195"
"350198","350224","5","359"
"350140","350285","10","3014"
"350197","350202","12","2953"
"350179","350171","5","2463"
"350175","350044","10","2829"
"350106","350042","9","200"
"350008","350019","4","1289"
"350040","350026","22","2429"
"350131","350279","7","1736"
"491615","350351","13","4155"
"350183","350270","3","2766"
"350145","350064","13","2722"
"350099","350097","17","2300"
"350095","350010","6","2429"
"350085","350365","3","1253"
"350013","350379","11","3421"
"350117","350122","13","1765"
"350004","350277","9","493"
"350050","350249","4","1827"
"350035","350390","4","1508"
"350193","350271","14","1889"
"350075","350079","4","174"
"350185","350096","3","1699"
"350125","350131","8","1850"
"350068","350011","17","1519"
"576832","350333","1","992"
"350173","350171","19","289"
"350014","350252","14","32"
"350141","350332","3","407"
"350136","350240","4","1974"
"350156","350033","17","2339"
"350148","350157","17","1625"
"350057","357758","4","72"
"350112","350110","17","3152"
"350169","350230","10","3258"
"350182","350069","1","3570"
"350015","350010","13","2167"
"350190","350192","6","1410"
"350115","350113","14","1514"
"350114","350064","16","982"
"388018","350230","12","142"
"350077","350263","7","875"
"350126","350058","11","2072"
"350071","350214","14","819"
"350020","350009","18","1522"
"350176","350252","8","2117"
"350044","350042","3","1379"
"350165","350111","12","1683"
"350174","350352","15","2879"
"350032","350024","12","2120"
"350130","350157","10","1241"
"350055","350382","6","1857"
"350060","350370","15","781"
"350103","350104","14","2863"
"350111","350118","17","2372"
"350133","350080","11","1317"
"350054","350048","2","2030"
"350058","350132","10","2172"
"350009","350384","4","2182"
"350053","350055","3","3256"
"350041","350232","12","1895"
"350192","350014","8","1317"
"350062","350385","3","510"
"350113","350256","20","1460"
"489312","350288","13","1980"
"350042","350034","1","1136"
"350150","350345","10","3564"
"350026","350027","2","2729"
"350091","350043","2","764"
"350195","350055","17","6714"
"350189","350033","13","1884"
"350043","350220","6","797"
"350080","350339","7","670"
"350092","350095","4","1385"
"350002","350009","6","344"
"350010","350004","11","3188"
"350039","350290","15","1644"
"350052","350037","13","2731"
"350105","350300","13","1794"
"350016","350018","11","2632"
"350134","350198","13","743"
"350059","350055","10","2694"
"350119","350001","14","1865"
"350188","350104","11","2477"
"350031","350081","14","2536"
"350088","350091","13","1111"
"350142","350141","4","3227"
"350021","350020","15","3200"
"350076","350026","19","2725"
"350046","350026","7","1585"
"350184","350096","5","2476"
"464386","350034","16","941"
"350147","350380","13","3675"
"350094","350198","24","4022"
"350028","350357","13","2132"
"350161","350155","7","2807"
"350168","350169","23","1562"
"350087","350304","20","315"
"350102","350285","13","1731"
"350146","350014","5","762"
"350187","350115","19","1368"
"350036","350026","5","1234"
"350194","350198","8","1793"
"433648","350055","4","145"
"350038","350040","17","2370"
"350037","350029","14","2228"
"350023","350177","17","2426"
"350022","350016","12","1499"
"350061","350138","16","1284"
"350160","350046","19","304"
"350149","350154","7","1885"
"350025","350142","12","157"
"350084","350081","10","1379"
"350118","350394","8","2717"
"350086","350115","1","894"
"350017","350144","10","735"
"350110","350029","9","2917"
"350158","350186","15","1275"
"350104","350099","8","1951"
"350143","350046","14","2083"
"350005","350154","5","3173"
"350108","350107","18","2436"
"350116","350344","1","1469"
"350138","350278","4","429"
"350030","350303","18","2210"
"350072","350042","22","3790"
"350166","350173","14","1729"
"350135","350148","3","1238"
"350167","350330","11","4580"
"350109","350330","5","2265"
"350006","350169","7","44"
"350171","350074","13","2461"
"350019","350305","14","2830"
"350063","350135","7","1193"
"350098","350259","10","517"
"350011","350064","18","3369"
"350120","350031","9","111"
"350069","350057","16","2810"
"350186","350265","10","3214"
"350122","350132","19","796"
"350177","350355","17","50"
"350082","350046","8","2428"
"350172","350283","31","3139"
"350139","350044","2","2588"
"357758","350009","4","2502"
"350074","350069","13","3126"
"350129","350261","3","2155"
"350067","350076","16","482"
"350107","350242","19","2624"
"350128","350138","5","2488"
"350089","397902","18","4294"
"350170","350195","11","972"
"350164","350163","12","1071"
"350155","350160","9","3007"
"350027","350165","3","1340"
"350198","350374","11","2658"
"350140","350143","19","2759"
"350197","350198","18","3082"
"350179","350136","13","1256"
"350175","350152","8","2872"
"350106","350019","12","1310"
"350008","350050","5","442"
"350040","350028","1","2005"
"350131","350064","11","562"
"491615","350028","19","3053"
